,open,close,high,low,total_turnover,volume
2012-02-10,2521.676,2533.624,2560.027,2521.155,60029482361.0,6157587700.0
2012-02-13,2504.41,2531.981,2553.446,2496.305,54282622440.0,5191397300.0
2012-02-14,2528.967,2522.107,2533.264,2506.537,43723682304.0,4043010100.0
2012-02-15,2515.829,2549.607,2562.071,2511.289,60422394145.0,5809037000.0
2012-02-16,2544.641,2536.074,2559.345,2519.043,55165633314.0,5439543100.0
2012-02-17,2551.815,2537.086,2558.345,2522.856,40458003413.0,3899471600.0
2012-02-20,2571.907,2540.706,2574.746,2539.904,56748912893.0,5615332900.0
2012-02-21,2544.835,2562.453,2562.909,2520.786,47758225547.0,4789480800.0
2012-02-22,2564.315,2597.476,2598.863,2560.343,76421806874.0,7637665600.0
2012-02-23,2595.779,2606.256,2614.537,2590.518,72612089253.0,7037712600.0
2012-02-24,2607.339,2648.017,2648.017,2602.776,88058616716.0,8599970800.0
2012-02-27,2658.121,2656.573,2693.843,2656.573,106670207615.0,10151403400.0
2012-02-28,2652.342,2662.463,2671.833,2641.459,77213053038.0,7759253600.0
2012-02-29,2655.858,2634.143,2666.647,2631.784,64875221164.0,5912020600.0
2012-03-01,2622.737,2633.345,2647.785,2621.858,46524079738.0,4214844100.0
2012-03-02,2637.961,2679.934,2679.934,2637.961,66981591368.0,6412203400.0
2012-03-05,2687.74,2662.698,2694.612,2660.955,74973261138.0,7139545800.0
2012-03-06,2654.799,2621.052,2657.963,2615.6,68852557821.0,6244714800.0
2012-03-07,2596.479,2603.005,2628.585,2594.128,63243293004.0,5694873300.0
2012-03-08,2612.403,2635.791,2645.953,2612.403,64458851045.0,5754941300.0
2012-03-09,2644.1,2664.302,2664.414,2631.406,65963441747.0,5525892100.0
2012-03-12,2663.243,2654.402,2666.432,2636.423,74367701978.0,6232721600.0
2012-03-13,2653.681,2681.073,2681.334,2649.169,66429764308.0,5840446900.0
2012-03-14,2694.475,2605.106,2705.754,2595.342,117080408732.0,10842654000.0
2012-03-15,2602.661,2585.546,2618.252,2575.437,77042766482.0,7256596000.0
2012-03-16,2591.8,2623.52,2624.316,2577.245,67451822278.0,5809125900.0
2012-03-19,2617.662,2630.013,2631.045,2598.63,68803937996.0,5764662500.0
2012-03-20,2622.66,2584.445,2622.66,2584.024,64263817216.0,5811406500.0
2012-03-21,2597.375,2587.793,2613.269,2569.075,66674920148.0,5800254400.0
2012-03-22,2586.938,2583.747,2599.244,2570.446,50115505934.0,4492677700.0
2012-03-23,2575.327,2552.94,2578.825,2544.525,47812442986.0,4332925600.0
